                                      estimate   std.error  statistic        df      p.value
(Intercept)                        0.025912104 0.112939015  0.2294345 5404.4005 8.185399e-01
log_population                    -0.113589175 0.024602547 -4.6169681 5407.4278 3.984015e-06
log_gdp_per_capita                -0.018400656 0.024894747 -0.7391381 5363.0340 4.598555e-01
regionS                           -0.178127237 0.051458708 -3.4615568 5404.8528 5.412184e-04
regionN                            0.194018833 0.071421100  2.7165478 5407.4278 6.617655e-03
regionNE                          -0.083440464 0.052810348 -1.5800022 5407.4278 1.141649e-01
regionCW                          -0.361567915 0.072420370 -4.9926273 5406.3447 6.143318e-07
urban_hierarchyZone Center         0.104347308 0.112595712  0.9267432 5407.4278 3.541013e-01
urban_hierarchySubregional Center  0.082072329 0.111148203  0.7384045 5407.4278 4.603008e-01
urban_hierarchyRegional Center     0.014068256 0.139379465  0.1009349 5407.4278 9.196059e-01
urban_hierarchyMetropolis         -0.050498067 0.138301147 -0.3651312 5407.4278 7.150277e-01
outsourced_accountant             -0.225297472 0.049252581 -4.5743282 5401.1490 4.884328e-06
nb_cities_same_accountant         -0.002031673 0.002879109 -0.7056604  522.8819 4.807136e-01
