                                      estimate   std.error  statistic        df      p.value
(Intercept)                        0.038132297 0.183362581  0.2079612 5404.4162 8.352671e-01
log_population                    -0.181933321 0.039695584 -4.5832131 5407.4278 4.681883e-06
log_gdp_per_capita                -0.030470816 0.040115216 -0.7595825 5361.5127 4.475376e-01
regionS                           -0.285765903 0.082759566 -3.4529652 5405.0380 5.587129e-04
regionN                            0.310096266 0.114371245  2.7113132 5407.4278 6.722905e-03
regionNE                          -0.133848838 0.084866860 -1.5771626 5407.4278 1.148166e-01
regionCW                          -0.581894749 0.118271972 -4.9199716 5406.5561 8.912256e-07
urban_hierarchyZone Center         0.172301689 0.183241916  0.9402963 5407.4278 3.471076e-01
urban_hierarchySubregional Center  0.135825497 0.180718554  0.7515858 5407.4278 4.523329e-01
urban_hierarchyRegional Center     0.027019167 0.227694053  0.1186644 5407.4278 9.055457e-01
urban_hierarchyMetropolis         -0.077530592 0.226926481 -0.3416551 5407.4278 7.326237e-01
outsourced_accountant             -0.361883969 0.079115829 -4.5741032 5401.2118 4.889558e-06
nb_cities_same_accountant         -0.003268424 0.004620694 -0.7073448  532.0237 4.796620e-01
