                                      estimate   std.error  statistic        df      p.value
(Intercept)                        0.025021553 0.112947380  0.2215328 5404.3976 8.246859e-01
log_population                    -0.084106185 0.050710789 -1.6585462 5380.7147 9.726556e-02
log_gdp                           -0.035390090 0.050786136 -0.6968455 5363.1952 4.859297e-01
regionS                           -0.178716480 0.051460857 -3.4728625 5404.8480 5.189743e-04
regionN                            0.194432682 0.071439827  2.7216287 5407.4278 6.516917e-03
regionNE                          -0.082358549 0.052797001 -1.5599096 5407.4278 1.188398e-01
regionCW                          -0.362108775 0.072422453 -4.9999518 5406.3439 5.915509e-07
urban_hierarchyZone Center         0.104692081 0.112597458  0.9297908 5407.4278 3.525209e-01
urban_hierarchySubregional Center  0.082549797 0.111155286  0.7426529 5407.4278 4.577241e-01
urban_hierarchyRegional Center     0.014230363 0.139378091  0.1020990 5407.4278 9.186819e-01
urban_hierarchyMetropolis         -0.050416484 0.138301323 -0.3645409 5407.4278 7.154684e-01
outsourced_accountant             -0.225051301 0.049251223 -4.5694561 5401.1352 4.998806e-06
nb_cities_same_accountant         -0.002014208 0.002878957 -0.6996312  523.1269 4.844686e-01
