                                      estimate   std.error  statistic        df      p.value
(Intercept)                        0.036676543 0.183374651  0.2000088 5404.4142 8.414812e-01
log_population                    -0.133063504 0.081673142 -1.6292198 5380.0676 1.033250e-01
log_gdp                           -0.058654683 0.081832160 -0.7167681 5361.6967 4.735484e-01
regionS                           -0.286725240 0.082762990 -3.4644137 5405.0333 5.355147e-04
regionN                            0.310769496 0.114401805  2.7164737 5407.4278 6.619134e-03
regionNE                          -0.132078026 0.084843801 -1.5567198 5407.4278 1.195955e-01
regionCW                          -0.582771915 0.118275787 -4.9272292 5406.5558 8.589050e-07
urban_hierarchyZone Center         0.172851313 0.183243902  0.9432855 5407.4278 3.455770e-01
urban_hierarchySubregional Center  0.136602322 0.180729008  0.7558406 5407.4278 4.497777e-01
urban_hierarchyRegional Center     0.027275044 0.227690770  0.1197899 5407.4278 9.046541e-01
urban_hierarchyMetropolis         -0.077354141 0.226925336 -0.3408793 5407.4278 7.332077e-01
outsourced_accountant             -0.361477689 0.079112956 -4.5691339 5401.1958 5.006464e-06
nb_cities_same_accountant         -0.003239732 0.004620434 -0.7011749  532.2838 4.835003e-01
