                                      estimate   std.error  statistic        df      p.value
(Intercept)                       -0.105465548 0.108508884 -0.9719531 5406.7978 3.311174e-01
population                        -0.233980483 0.102731881 -2.2775840 5407.4278 2.279024e-02
gdp                                0.150657966 0.122741561  1.2274405 5407.4278 2.197105e-01
regionS                           -0.159461399 0.048961087 -3.2569007 5392.9961 1.133325e-03
regionN                            0.183417102 0.070332060  2.6078733 5407.4278 9.135714e-03
regionNE                          -0.083808173 0.046330908 -1.8089042 5404.8646 7.052143e-02
regionCW                          -0.357348252 0.071186325 -5.0199003 5402.6354 5.335726e-07
urban_hierarchyZone Center         0.130683409 0.116152996  1.1250972 5407.4278 2.605978e-01
urban_hierarchySubregional Center  0.221123364 0.107319211  2.0604267 5407.4278 3.940550e-02
urban_hierarchyRegional Center    -0.019539032 0.141231276 -0.1383478 5407.4278 8.899707e-01
urban_hierarchyMetropolis         -0.022415626 0.139584839 -0.1605878 5407.4278 8.724240e-01
outsourced_accountant             -0.210878492 0.048956469 -4.3074694 5395.8200 1.680647e-05
nb_cities_same_accountant         -0.001744399 0.002846319 -0.6128613  521.0304 5.402354e-01
